Título,Año,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Enlace
La vida era eso,2020,España,"6,4",1.234,David Martín de los Santos,"Petra Martínez, Anna Castillo, Ramón Barea, Florin Piersic Jr., Daniel Morilla, Pilar Gómez, María Isabel Díaz, Annick Weerts",https://www.filmaffinity.com/es/film975136.html
Bajo terapia,2023,España,"6,4",1.429,Gerardo Herrero,"Malena Alterio, Alexandra Jiménez, Fele Martínez, Antonio Pagudo, Eva Ugarte, Juan Carlos Vellido",https://www.filmaffinity.com/es/film621003.html
Mi amor,2015,Francia,"6,4",1.734,Maïwenn,"Emmanuelle Bercot, Vincent Cassel, Louis Garrel, Isild Le Besco, Patrick Raynal, Chrystèle Saint Louis Augustin, Yann Goven, Paul Hamy",https://www.filmaffinity.com/es/film685775.html
Se lo llevaron: Recuerdos de una niña de Camboya,2017,Camboya,"6,4",1.943,Angelina Jolie,"Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata, Tharoth Sam, Mun Kimhak, Heng Dara, Sarun Nika, Khoun Sothea",https://www.filmaffinity.com/es/film284002.html
El dragón de los deseos,2021,China,"6,4",2.009,Chris Appelhans,,https://www.filmaffinity.com/es/film274927.html
Las estrellas de cine no mueren en Liverpool,2017,Reino Unido,"6,4",2.203,Paul McGuigan,"Annette Bening, Jamie Bell, Julie Walters, Vanessa Redgrave, Stephen Graham, Leanne Best, Kenneth Cranham, Frances Barber",https://www.filmaffinity.com/es/film548559.html
Fruitvale Station,2013,Estados Unidos,"6,4",2.309,Ryan Coogler,"Michael B. Jordan, Octavia Spencer, Melonie Diaz, Ahna O'Reilly, Kevin Durand, Chad Michael Murray, Ariana Neal, Keenan Coogler",https://www.filmaffinity.com/es/film370693.html
El imperio de la luz,2022,Reino Unido,"6,4",2.574,Sam Mendes,"Olivia Colman, Micheal Ward, Colin Firth, Toby Jones, Tanya Moodie, Crystal Clarke, Tom Brooke, Hannah Onslow",https://www.filmaffinity.com/es/film547708.html
Armageddon Time,2022,Estados Unidos,"6,4",2.633,James Gray,"Michael Banks Repeta, Anne Hathaway, Jeremy Strong, Anthony Hopkins, Jaylin Webb, Ryan Sell, Marcia Jean Kurtz, Andrew Polk",https://www.filmaffinity.com/es/film782332.html
Astérix: La residencia de los dioses,2014,Francia,"6,4",3.269,"Alexandre Astier, Louis Clichy","Roger Carel, Lorànt Deutsch, Laurent Lafitte, Alexandre Astier, Alain Chabat, Elie Semoun, Géraldine Nakache",https://www.filmaffinity.com/es/film601359.html
Brimstone. La hija del predicador,2016,Países Bajos (Holanda),"6,4",3.437,Martin Koolhoven,"Dakota Fanning, Guy Pearce, Emilia Jones, Paul Anderson, William Houston, Ivy George, Jack Hollington, Carice van Houten",https://www.filmaffinity.com/es/film789718.html
La hija oscura,2021,Estados Unidos,"6,4",5.160,Maggie Gyllenhaal,"Olivia Colman, Jessie Buckley, Ed Harris, Dakota Johnson, Peter Sarsgaard, Paul Mescal, Oliver Jackson-Cohen, Dagmara Dominczyk, Alba Rohrwacher",https://www.filmaffinity.com/es/film454724.html
