Título,Año,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Enlace
Cuando tienes 17 años,2016,Francia,"6,4",1.498,André Téchiné,"Sandrine Kiberlain, Kacey Mottet Klein, Corentin Fila, Alexis Loret, Jean Fornerod, Mama Prassinos, Jean Corso",https://www.filmaffinity.com/es/film519747.html
Como la vida misma,2018,Estados Unidos,"6,4",2.694,Dan Fogelman,"Oscar Isaac, Olivia Wilde, Annette Bening, Antonio Banderas, Samuel L. Jackson, Olivia Cooke, Mandy Patinkin, Laia Costa",https://www.filmaffinity.com/es/film371100.html
Atenea,2022,Francia,"6,4",3.648,Romain Gavras,"Dali Benssalah, Alexis Manenti, Anthony Bajon, Karim Lasmi, Ouassini Embarek, Radostina Rogliano, Mehdi Abdelhakmi, Tarek Haddaji",https://www.filmaffinity.com/es/film484509.html
Sisu,2022,Finlandia,"6,4",4.153,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan, Onni Tommila, Mimosa Willamo, Tatu Sinisalo, Wilhelm Enckell, Kimi Vilkkula",https://www.filmaffinity.com/es/film872693.html
Calibre,2018,Reino Unido,"6,4",4.787,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran, Ian Pirie, George Anton, Kate Bracken, Cal Macaninch, Cameron Jack",https://www.filmaffinity.com/es/film560509.html
Ártico,2018,Islandia,"6,4",6.375,Joe Penna,"Mads Mikkelsen, Maria Thelma Smáradóttir",https://www.filmaffinity.com/es/film133337.html
Los hombres libres de Jones,2016,Estados Unidos,"6,4",9.342,Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Keri Russell, Mahershala Ali, Sean Bridgers, Jacob Lofland, Christopher Berry, Joe Chrest",https://www.filmaffinity.com/es/film835391.html
A cambio de nada,2015,España,"6,4",13.785,Daniel Guzmán,"Miguel Herrán, Antonio Bachiller, Luis Tosar, María Miguel, Antonia Guzmán, Felipe Vélez, Patricia Santos, Miguel Rellán",https://www.filmaffinity.com/es/film973755.html
El callejón de las almas perdidas,2021,Estados Unidos,"6,4",14.333,Guillermo del Toro,"Bradley Cooper, Rooney Mara, Cate Blanchett, Toni Collette, Willem Dafoe, David Strathairn, Richard Jenkins, Mark Povinelli",https://www.filmaffinity.com/es/film880572.html
El autor,2017,España,"6,4",16.331,Manuel Martín Cuenca,"Javier Gutiérrez, Antonio de la Torre, Adelfa Calvo, María León, Adriana Paz, Tenoch Huerta, Rafael Téllez, Craig Stevenson",https://www.filmaffinity.com/es/film570753.html
John Wick: Capítulo 3 - Parabellum,2019,Estados Unidos,"6,4",20.424,Chad Stahelski,"Keanu Reeves, Halle Berry, Ian McShane, Anjelica Huston, Mark Dacascos, Laurence Fishburne, Lance Reddick, Asia Kate Dillon",https://www.filmaffinity.com/es/film615543.html
Gorrión rojo,2018,Estados Unidos,"6,4",22.961,Francis Lawrence,"Jennifer Lawrence, Joel Edgerton, Jeremy Irons, Charlotte Rampling, Mary-Louise Parker, Matthias Schoenaerts, Joely Richardson, Nicole O'Neill",https://www.filmaffinity.com/es/film650565.html
John Wick (Otro día para matar),2014,Estados Unidos,"6,4",34.074,"Chad Stahelski, David Leitch","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki, Omer Barnea, Toby Leonard Moore",https://www.filmaffinity.com/es/film351657.html
Asesinos,2015,Corea del Sur,"6,4",1.002,Choi Dong-hoon,"Jun Ji-hyun, Lee Jung-jae, Ha Jung-woo, Choi Duek-mun, Lee Kyung-young, Oh Dal-su, Cho Jin-woong, Kim Eui-sung",https://www.filmaffinity.com/es/film473784.html
Mi vida con Amanda,2018,Francia,"6,4",1.344,Mikhaël Hers,"Vincent Lacoste, Isaure Multrier, Stacy Martin, Ophélia Kolb Kasapoglu, Marianne Basler, Jonathan Cohen, Nabiha Akkari, Greta Scacchi",https://www.filmaffinity.com/es/film109033.html
La llorona,2019,Guatemala,"6,4",1.501,Jayro Bustamante,"Sabrina De La Hoz, Margarita Kénefic, María Mercedes Coroy, Julio Diaz, Juan Pablo Olyslager, Ayla-Elea Hurtado, María Telón",https://www.filmaffinity.com/es/film669942.html
Sombra,2018,China,"6,4",3.456,Zhang Yimou,"Deng Chao, Sun Li, Ryan Zheng, Guan Xiaotong, Wang Jingchun, Wang Qianyuan, Hu Jun, Lei Wu",https://www.filmaffinity.com/es/film957690.html
Utoya. 22 de julio,2018,Noruega,"6,4",3.872,Erik Poppe,"Andrea Berntzen, Aleksander Holmen, Magnus Moen, Ada Eide, Elli Rhiannon Müller Osbourne, Solveig Koløen Birkeland, Brede Fristad, Sorosh Sadat",https://www.filmaffinity.com/es/film759238.html
Héroes en el infierno,2017,Estados Unidos,"6,4",4.142,Joseph Kosinski,"Josh Brolin, Miles Teller, Jennifer Connelly, Jeff Bridges, Taylor Kitsch, Andie MacDowell, James Badge Dale, Scott Haze",https://www.filmaffinity.com/es/film339362.html
Durante la tormenta,2018,España,"6,4",14.371,Oriol Paulo,"Adriana Ugarte, Chino Darín, Álvaro Morte, Javier Gutiérrez, Miquel Fernández, Nora Navas, Clara Segura, Julio Bohigas-Couto",https://www.filmaffinity.com/es/film493283.html
Paddleton,2019,Estados Unidos,"6,4",1.172,Alexandre Lehmann,"Ray Romano, Mark Duplass, Ravi Patel, Christine Woods, Jen Sung, Stephen Oyoung, Sierra Fisk",https://www.filmaffinity.com/es/film756223.html
Cemetery of Splendour,2015,Tailandia,"6,4",1.189,Apichatpong Weerasethakul,"Jenjira Jansuda, Banlop Lomnoi, Petcharat Chaiburi, Tawatchai Buawat, Jarinpattra Rueangram, Sakda Kaewbuadee, Sujittraporn Wongsrikeaw, Bhattaratorn Senkraigul",https://www.filmaffinity.com/es/film435424.html
Memoria,2021,Colombia,"6,4",1.285,Apichatpong Weerasethakul,"Tilda Swinton, Daniel Giménez Cacho, Jeanne Balibar, Juan Pablo Urrego, Elkin Díaz, Daniel Toro, Agnes Brekke, Jerónimo Barón, Constanza Gutiérrez",https://www.filmaffinity.com/es/film305860.html
La oveja Shaun. La película: Granjaguedón,2019,Reino Unido,"6,4",1.344,"Will Becher, Richard Phelan",,https://www.filmaffinity.com/es/film135118.html
Amama,2015,España,"6,4",1.911,Asier Altuna,"Iraia Elias, Klara Badiola, Kandido Uranga, Amparo Badiola, Ander Lipus, Manu Uranga, Nagore Aranburu, José Ramón Soroiz, Maite Arroitajauregi",https://www.filmaffinity.com/es/film486279.html
A War (Una guerra),2015,Dinamarca,"6,4",1.915,Tobias Lindholm,"Pilou Asbæk, Tuva Novotny, Dar Salim, Søren Malling, Charlotte Munck, Dulfi Al-Jabouri, Alex Høgh Andersen, Jakob Frølund, Phillip Sem Dambæk",https://www.filmaffinity.com/es/film800692.html
Heli,2013,México,"6,4",2.028,Amat Escalante,"Armando Espitia, Linda González, Andrea Vergara, Reina Torres, Ramón Álvarez, Juan Eduardo Palacios",https://www.filmaffinity.com/es/film103490.html
La sociedad literaria y el pastel de piel de patata,2018,Reino Unido,"6,4",4.296,Mike Newell,"Lily James, Michiel Huisman, Glen Powell, Jessica Brown Findlay, Tim Ingall, Matthew Goode, Tom Courtenay, Penelope Wilton",https://www.filmaffinity.com/es/film538187.html
Los principios del cuidado,2016,Estados Unidos,"6,4",5.944,Rob Burnett,"Paul Rudd, Craig Roberts, Selena Gomez, Jennifer Ehle, Megan Ferguson, Ashley White, Patti Schellhaas, Blake Sewell",https://www.filmaffinity.com/es/film841409.html
Tully,2018,Estados Unidos,"6,4",9.115,Jason Reitman,"Charlize Theron, Mackenzie Davis, Ron Livingston, Mark Duplass, Elaine Tan, Asher Miles Fallica, Lia Frankland, Gameela Wright",https://www.filmaffinity.com/es/film636398.html
Fuerza mayor,2014,Suecia,"6,4",9.587,Ruben Östlund,"Johannes Kuhnke, Lisa Loven, Vincent Wettergren, Clara Wettergren, Kristofer Hivju, Fanni Metelius, Karin Myrenberg, Brady Corbet",https://www.filmaffinity.com/es/film191760.html
Batman: La LEGO película,2017,Estados Unidos,"6,4",10.532,Chris McKay,,https://www.filmaffinity.com/es/film750144.html
Silencio,2016,Estados Unidos,"6,4",15.673,Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson, Ciarán Hinds, Issei Ogata, Tadanobu Asano, Shinya Tsukamoto, Ryo Kase",https://www.filmaffinity.com/es/film556741.html
No respires,2016,Estados Unidos,"6,4",27.305,Fede Álvarez,"Jane Levy, Dylan Minnette, Stephen Lang, Daniel Zovatto, Sergej Onopko, Jane May Graves, Katia Bokor, Christian Zagia",https://www.filmaffinity.com/es/film609968.html
It,2017,Estados Unidos,"6,4",35.874,Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Sophia Lillis, Finn Wolfhard, Wyatt Oleff, Jeremy Ray Taylor, Jack Dylan Grazer, Chosen Jacobs",https://www.filmaffinity.com/es/film312346.html
